economy,Country,SP.POP.TOTL,NY.GDP.MKTP.PP.KD,Total Population (millions),GDP (billions $),Gold,Silver,Bronze,Total,GDP (bn) / Total_Medals,Year,Continent
BRA,Brazil,192030362,2.71E+12,192.03,2710.5,3,4,10,17,159.44,2008,South America
BOL,Bolivia,9721457,61743172462,9.72,61.74,0,0,0,0,,2008,South America
BMU,Bermuda,65273,6256795679,0.07,6.26,0,0,0,0,,2008,North America
BLZ,Belize,306822,2278727210,0.31,2.28,0,0,0,0,,2008,North America
BLR,Belarus,9527985,1.52E+11,9.53,151.9,3,4,7,14,10.85,2008,Europe
BIH,Bosnia and Herzegovina,3754261,41428413672,3.75,41.43,0,0,0,0,,2008,Europe
BHS,"Bahamas, The",343680,13332188252,0.34,13.33,0,1,1,2,6.67,2008,North America
BHR,Bahrain,1114645,51729372637,1.11,51.73,0,0,0,0,,2008,Asia
BGR,Bulgaria,7492561,1.37E+11,7.49,136.74,1,1,3,5,27.35,2008,Europe
BGD,Bangladesh,144304164,3.84E+11,144.3,383.71,0,0,0,0,,2008,Asia
BFA,Burkina Faso,14689725,23987565705,14.69,23.99,0,0,0,0,,2008,Africa
BEN,Benin,8696915,23813843817,8.7,23.81,0,0,0,0,,2008,Africa
BEL,Belgium,10709973,5.19E+11,10.71,518.61,2,0,0,2,259.31,2008,Europe
BDI,Burundi,8126104,6726726438,8.13,6.73,0,0,0,0,,2008,Africa
AZE,Azerbaijan,8763400,1.11E+11,8.76,111.05,1,1,4,6,18.51,2008,Asia
AUT,Austria,8321496,4.42E+11,8.32,442.42,0,1,2,3,147.47,2008,Europe
AUS,Australia,21249200,9.51E+11,21.25,950.77,14,15,17,46,20.67,2008,Oceania
ATG,Antigua and Barbuda,85394,1975328105,0.09,1.98,0,0,0,0,,2008,North America
ARM,Armenia,2907615,30435546699,2.91,30.44,0,1,4,5,6.09,2008,Asia
ARG,Argentina,40080159,9.26E+11,40.08,925.99,2,0,4,6,154.33,2008,South America
ARE,United Arab Emirates,7089486,4.88E+11,7.09,487.75,0,0,0,0,,2008,Asia
ALB,Albania,2947314,29214270738,2.95,29.21,0,0,0,0,,2008,Europe
AGO,Angola,21695636,1.71E+11,21.7,170.62,0,0,0,0,,2008,Africa
AFG,Afghanistan,27722281,41143038133,27.72,41.14,0,0,1,1,41.14,2008,Asia
ABW,Aruba,101362,4051264664,0.1,4.05,0,0,0,0,,2008,North America
ZWE,Zimbabwe,13115149,48196522445,13.12,48.2,0,0,0,0,,2012,Africa
ZMB,Zambia,14465148,48303033348,14.47,48.3,0,0,0,0,,2012,Africa
ZAF,South Africa,52832659,7.37E+11,52.83,736.85,4,1,1,6,122.81,2012,Africa
XKX,Kosovo,1807106,14647271671,1.81,14.65,0,0,0,0,,2012,Europe
WSM,Samoa,189089,1115879881,0.19,1.12,0,0,0,0,,2012,Oceania
VUT,Vanuatu,249505,760163346.3,0.25,0.76,0,0,0,0,,2012,Oceania
VNM,Vietnam,89801926,5.01E+11,89.8,500.6,0,0,1,1,500.60,2012,Asia
VCT,St. Vincent and the Grenadines,108435,1251118488,0.11,1.25,0,0,0,0,,2012,North America
UZB,Uzbekistan,29774500,1.63E+11,29.77,162.95,0,0,3,3,54.32,2012,Asia
USA,United States,313877662,1.74E+13,313.88,17445.76,47,27,30,104,167.75,2012,North America
