areaCode,areaName,areaType,date,newCasesBySpecimenDate
W06000015,Cardiff,ltla,15/12/2020,389
W06000015,Cardiff,ltla,14/12/2020,391
W06000015,Cardiff,ltla,13/12/2020,311
W06000015,Cardiff,ltla,12/12/2020,293
W06000015,Cardiff,ltla,11/12/2020,326
W06000015,Cardiff,ltla,10/12/2020,341
W06000015,Cardiff,ltla,09/12/2020,357
W06000015,Cardiff,ltla,08/12/2020,327
W06000015,Cardiff,ltla,07/12/2020,266
W06000015,Cardiff,ltla,06/12/2020,213
W06000015,Cardiff,ltla,05/12/2020,216
W06000015,Cardiff,ltla,04/12/2020,222
W06000015,Cardiff,ltla,03/12/2020,241
W06000015,Cardiff,ltla,02/12/2020,232
W06000015,Cardiff,ltla,01/12/2020,227
W06000015,Cardiff,ltla,30/11/2020,202
W06000015,Cardiff,ltla,29/11/2020,103
W06000015,Cardiff,ltla,28/11/2020,85
W06000015,Cardiff,ltla,27/11/2020,101
W06000015,Cardiff,ltla,26/11/2020,139
W06000015,Cardiff,ltla,25/11/2020,146
W06000015,Cardiff,ltla,24/11/2020,141
W06000015,Cardiff,ltla,23/11/2020,120
W06000015,Cardiff,ltla,22/11/2020,86
W06000015,Cardiff,ltla,21/11/2020,71
W06000015,Cardiff,ltla,20/11/2020,89
W06000015,Cardiff,ltla,19/11/2020,83
W06000015,Cardiff,ltla,18/11/2020,100
W06000015,Cardiff,ltla,17/11/2020,98
W06000015,Cardiff,ltla,16/11/2020,145
W06000015,Cardiff,ltla,15/11/2020,57
W06000015,Cardiff,ltla,14/11/2020,73
W06000015,Cardiff,ltla,13/11/2020,99
W06000015,Cardiff,ltla,12/11/2020,68
W06000015,Cardiff,ltla,11/11/2020,75
W06000015,Cardiff,ltla,10/11/2020,106
W06000015,Cardiff,ltla,09/11/2020,105
W06000015,Cardiff,ltla,08/11/2020,63
W06000015,Cardiff,ltla,07/11/2020,69
W06000015,Cardiff,ltla,06/11/2020,93
W06000015,Cardiff,ltla,05/11/2020,118
W06000015,Cardiff,ltla,04/11/2020,130
W06000015,Cardiff,ltla,03/11/2020,160
W06000015,Cardiff,ltla,02/11/2020,178
W06000015,Cardiff,ltla,01/11/2020,101
W06000015,Cardiff,ltla,31/10/2020,96
W06000015,Cardiff,ltla,30/10/2020,190
W06000015,Cardiff,ltla,29/10/2020,195
W06000015,Cardiff,ltla,28/10/2020,143
W06000015,Cardiff,ltla,27/10/2020,171
W06000015,Cardiff,ltla,26/10/2020,228
W06000015,Cardiff,ltla,25/10/2020,143
W06000015,Cardiff,ltla,24/10/2020,149
W06000015,Cardiff,ltla,23/10/2020,195
W06000015,Cardiff,ltla,22/10/2020,157
W06000015,Cardiff,ltla,21/10/2020,212
W06000015,Cardiff,ltla,20/10/2020,208
W06000015,Cardiff,ltla,19/10/2020,180
W06000015,Cardiff,ltla,18/10/2020,142
W06000015,Cardiff,ltla,17/10/2020,157
W06000015,Cardiff,ltla,16/10/2020,188
W06000015,Cardiff,ltla,15/10/2020,184
W06000015,Cardiff,ltla,14/10/2020,194
W06000015,Cardiff,ltla,13/10/2020,211
W06000015,Cardiff,ltla,12/10/2020,146
W06000015,Cardiff,ltla,11/10/2020,183
W06000015,Cardiff,ltla,10/10/2020,136
W06000015,Cardiff,ltla,09/10/2020,111
W06000015,Cardiff,ltla,08/10/2020,139
W06000015,Cardiff,ltla,07/10/2020,111
W06000015,Cardiff,ltla,06/10/2020,123
W06000015,Cardiff,ltla,05/10/2020,95
W06000015,Cardiff,ltla,04/10/2020,76
W06000015,Cardiff,ltla,03/10/2020,73
W06000015,Cardiff,ltla,02/10/2020,85
W06000015,Cardiff,ltla,01/10/2020,66
W06000015,Cardiff,ltla,30/09/2020,81
W06000015,Cardiff,ltla,29/09/2020,52
W06000015,Cardiff,ltla,28/09/2020,62
W06000015,Cardiff,ltla,27/09/2020,61
W06000015,Cardiff,ltla,26/09/2020,64
W06000015,Cardiff,ltla,25/09/2020,53
W06000015,Cardiff,ltla,24/09/2020,44
W06000015,Cardiff,ltla,23/09/2020,45
W06000015,Cardiff,ltla,22/09/2020,49
W06000015,Cardiff,ltla,21/09/2020,24
W06000015,Cardiff,ltla,20/09/2020,18
W06000015,Cardiff,ltla,19/09/2020,28
W06000015,Cardiff,ltla,18/09/2020,19
W06000015,Cardiff,ltla,17/09/2020,30
W06000015,Cardiff,ltla,16/09/2020,20
W06000015,Cardiff,ltla,15/09/2020,15
W06000015,Cardiff,ltla,14/09/2020,16
W06000015,Cardiff,ltla,13/09/2020,8
W06000015,Cardiff,ltla,12/09/2020,15
W06000015,Cardiff,ltla,11/09/2020,10
W06000015,Cardiff,ltla,10/09/2020,14
W06000015,Cardiff,ltla,09/09/2020,13
W06000015,Cardiff,ltla,08/09/2020,5
W06000015,Cardiff,ltla,07/09/2020,5
W06000015,Cardiff,ltla,06/09/2020,16
W06000015,Cardiff,ltla,05/09/2020,20
W06000015,Cardiff,ltla,04/09/2020,8
W06000015,Cardiff,ltla,03/09/2020,15
W06000015,Cardiff,ltla,02/09/2020,8
W06000015,Cardiff,ltla,01/09/2020,8
W06000015,Cardiff,ltla,31/08/2020,7
W06000015,Cardiff,ltla,30/08/2020,16
W06000015,Cardiff,ltla,29/08/2020,17
W06000015,Cardiff,ltla,28/08/2020,9
W06000015,Cardiff,ltla,27/08/2020,10
W06000015,Cardiff,ltla,26/08/2020,7
W06000015,Cardiff,ltla,25/08/2020,9
W06000015,Cardiff,ltla,24/08/2020,13
W06000015,Cardiff,ltla,23/08/2020,5
W06000015,Cardiff,ltla,22/08/2020,8
W06000015,Cardiff,ltla,21/08/2020,8
W06000015,Cardiff,ltla,20/08/2020,13
W06000015,Cardiff,ltla,19/08/2020,12
W06000015,Cardiff,ltla,18/08/2020,13
W06000015,Cardiff,ltla,17/08/2020,3
W06000015,Cardiff,ltla,16/08/2020,7
W06000015,Cardiff,ltla,15/08/2020,1
W06000015,Cardiff,ltla,14/08/2020,2
W06000015,Cardiff,ltla,13/08/2020,4
W06000015,Cardiff,ltla,12/08/2020,3
W06000015,Cardiff,ltla,11/08/2020,5
W06000015,Cardiff,ltla,10/08/2020,1
W06000015,Cardiff,ltla,09/08/2020,0
W06000015,Cardiff,ltla,08/08/2020,0
W06000015,Cardiff,ltla,07/08/2020,1
W06000015,Cardiff,ltla,06/08/2020,1
W06000015,Cardiff,ltla,05/08/2020,1
W06000015,Cardiff,ltla,04/08/2020,9
W06000015,Cardiff,ltla,03/08/2020,2
W06000015,Cardiff,ltla,02/08/2020,0
W06000015,Cardiff,ltla,01/08/2020,2
W06000015,Cardiff,ltla,31/07/2020,2
W06000015,Cardiff,ltla,30/07/2020,1
W06000015,Cardiff,ltla,29/07/2020,1
W06000015,Cardiff,ltla,28/07/2020,0
W06000015,Cardiff,ltla,27/07/2020,0
W06000015,Cardiff,ltla,26/07/2020,0
W06000015,Cardiff,ltla,25/07/2020,0
W06000015,Cardiff,ltla,24/07/2020,3
W06000015,Cardiff,ltla,23/07/2020,2
W06000015,Cardiff,ltla,22/07/2020,2
W06000015,Cardiff,ltla,21/07/2020,6
W06000015,Cardiff,ltla,20/07/2020,2
W06000015,Cardiff,ltla,19/07/2020,0
W06000015,Cardiff,ltla,18/07/2020,0
W06000015,Cardiff,ltla,17/07/2020,1
W06000015,Cardiff,ltla,16/07/2020,1
W06000015,Cardiff,ltla,15/07/2020,3
W06000015,Cardiff,ltla,14/07/2020,1
W06000015,Cardiff,ltla,13/07/2020,0
W06000015,Cardiff,ltla,12/07/2020,1
W06000015,Cardiff,ltla,11/07/2020,0
W06000015,Cardiff,ltla,10/07/2020,2
W06000015,Cardiff,ltla,09/07/2020,0
W06000015,Cardiff,ltla,08/07/2020,0
W06000015,Cardiff,ltla,07/07/2020,2
W06000015,Cardiff,ltla,06/07/2020,2
W06000015,Cardiff,ltla,05/07/2020,2
W06000015,Cardiff,ltla,04/07/2020,1
W06000015,Cardiff,ltla,03/07/2020,2
W06000015,Cardiff,ltla,02/07/2020,2
W06000015,Cardiff,ltla,01/07/2020,1
W06000015,Cardiff,ltla,30/06/2020,2
W06000015,Cardiff,ltla,29/06/2020,3
W06000015,Cardiff,ltla,28/06/2020,4
W06000015,Cardiff,ltla,27/06/2020,10
W06000015,Cardiff,ltla,26/06/2020,1
W06000015,Cardiff,ltla,25/06/2020,3
W06000015,Cardiff,ltla,24/06/2020,2
W06000015,Cardiff,ltla,23/06/2020,2
W06000015,Cardiff,ltla,22/06/2020,6
W06000015,Cardiff,ltla,21/06/2020,4
W06000015,Cardiff,ltla,20/06/2020,2
W06000015,Cardiff,ltla,19/06/2020,3
W06000015,Cardiff,ltla,18/06/2020,6
W06000015,Cardiff,ltla,17/06/2020,4
W06000015,Cardiff,ltla,16/06/2020,4
W06000015,Cardiff,ltla,15/06/2020,4
W06000015,Cardiff,ltla,14/06/2020,1
W06000015,Cardiff,ltla,13/06/2020,5
W06000015,Cardiff,ltla,12/06/2020,4
W06000015,Cardiff,ltla,11/06/2020,5
W06000015,Cardiff,ltla,10/06/2020,2
W06000015,Cardiff,ltla,09/06/2020,11
W06000015,Cardiff,ltla,08/06/2020,12
W06000015,Cardiff,ltla,07/06/2020,4
W06000015,Cardiff,ltla,06/06/2020,6
W06000015,Cardiff,ltla,05/06/2020,3
W06000015,Cardiff,ltla,04/06/2020,9
W06000015,Cardiff,ltla,03/06/2020,16
W06000015,Cardiff,ltla,02/06/2020,13
W06000015,Cardiff,ltla,01/06/2020,10
W06000015,Cardiff,ltla,31/05/2020,8
W06000015,Cardiff,ltla,30/05/2020,8
W06000015,Cardiff,ltla,29/05/2020,10
W06000015,Cardiff,ltla,28/05/2020,18
W06000015,Cardiff,ltla,27/05/2020,12
W06000015,Cardiff,ltla,26/05/2020,7
W06000015,Cardiff,ltla,25/05/2020,10
W06000015,Cardiff,ltla,24/05/2020,12
W06000015,Cardiff,ltla,23/05/2020,19
W06000015,Cardiff,ltla,22/05/2020,11
W06000015,Cardiff,ltla,21/05/2020,14
W06000015,Cardiff,ltla,20/05/2020,14
W06000015,Cardiff,ltla,19/05/2020,17
W06000015,Cardiff,ltla,18/05/2020,9
W06000015,Cardiff,ltla,17/05/2020,7
W06000015,Cardiff,ltla,16/05/2020,10
W06000015,Cardiff,ltla,15/05/2020,16
W06000015,Cardiff,ltla,14/05/2020,6
W06000015,Cardiff,ltla,13/05/2020,8
W06000015,Cardiff,ltla,12/05/2020,13
W06000015,Cardiff,ltla,11/05/2020,12
W06000015,Cardiff,ltla,10/05/2020,14
W06000015,Cardiff,ltla,09/05/2020,10
W06000015,Cardiff,ltla,08/05/2020,9
W06000015,Cardiff,ltla,07/05/2020,17
W06000015,Cardiff,ltla,06/05/2020,11
W06000015,Cardiff,ltla,05/05/2020,13
W06000015,Cardiff,ltla,04/05/2020,9
W06000015,Cardiff,ltla,03/05/2020,10
W06000015,Cardiff,ltla,02/05/2020,19
W06000015,Cardiff,ltla,01/05/2020,25
W06000015,Cardiff,ltla,30/04/2020,31
W06000015,Cardiff,ltla,29/04/2020,11
W06000015,Cardiff,ltla,28/04/2020,27
W06000015,Cardiff,ltla,27/04/2020,14
W06000015,Cardiff,ltla,26/04/2020,14
W06000015,Cardiff,ltla,25/04/2020,28
W06000015,Cardiff,ltla,24/04/2020,25
W06000015,Cardiff,ltla,23/04/2020,31
W06000015,Cardiff,ltla,22/04/2020,37
W06000015,Cardiff,ltla,21/04/2020,35
W06000015,Cardiff,ltla,20/04/2020,44
W06000015,Cardiff,ltla,19/04/2020,30
W06000015,Cardiff,ltla,18/04/2020,37
W06000015,Cardiff,ltla,17/04/2020,41
W06000015,Cardiff,ltla,16/04/2020,50
